date,total_value
1999-03-12,100000.0
1999-03-15,102875.68
1999-03-16,103754.35999999999
1999-03-17,102995.5
1999-03-18,104992.5
1999-03-19,102316.51999999999
1999-03-22,101058.41
1999-03-23,97503.75
1999-03-24,100818.76999999999
1999-03-25,104493.25
1999-03-26,103374.93
1999-03-29,107129.29
1999-03-30,106370.43
1999-03-31,104812.76999999999
1999-04-01,106989.5
1999-04-05,110863.68
1999-04-06,111083.34999999999
1999-04-07,109925.09
1999-04-08,110803.76999999999
1999-04-09,111482.75
1999-04-12,110743.85999999999
1999-04-13,109246.10999999999
1999-04-14,105491.75
1999-04-15,106929.59
1999-04-16,103814.26999999999
1999-04-19,98941.59
1999-04-20,101198.19999999998
1999-04-21,106190.69999999998
1999-04-22,109046.41
1999-04-23,110484.25
1999-04-26,113040.41
1999-04-27,111303.01999999999
1999-04-28,107488.75
1999-04-29,106630.04
1999-04-30,107309.01999999999
1999-05-03,106749.85999999999
1999-05-04,105052.41
1999-05-05,108247.60999999999
1999-05-06,104313.51999999999
1999-05-07,105811.26999999999
1999-05-10,106869.68
1999-05-11,108547.16
1999-05-12,110803.76999999999
1999-05-13,108746.85999999999
1999-05-14,106689.94999999998
1999-05-17,108607.06999999999
1999-05-18,108127.79
1999-05-19,109625.54
1999-05-20,106610.06999999999
1999-05-21,105631.54
1999-05-24,102935.59
1999-05-25,99560.66
1999-05-26,102336.48999999999
1999-05-27,102256.60999999999
1999-05-28,103934.09
1999-06-01,101637.54
1999-06-02,103334.98999999999
1999-06-03,101877.18
1999-06-04,104992.5
1999-06-07,107189.19999999998
1999-06-08,104493.25
1999-06-09,106250.60999999999
1999-06-10,105032.43999999999
1999-06-11,103434.84
1999-06-14,101477.77999999998
1999-06-15,102995.5
1999-06-16,108287.54999999999
1999-06-17,109485.75
1999-06-18,109985.0
1999-06-21,113280.04999999999
1999-06-22,109865.18
1999-06-23,111602.56999999999
1999-06-24,109385.9
1999-06-25,109246.10999999999
1999-06-28,111822.23999999999
1999-06-29,113359.93
1999-06-30,115117.29
1999-07-01,115896.12
1999-07-02,117353.93
1999-07-06,116615.04
1999-07-07,116794.76999999999
1999-07-08,118352.43
1999-07-09,119530.66
1999-07-12,118911.59
1999-07-13,118352.43
1999-07-14,120369.4
1999-07-15,121467.75
1999-07-16,122606.04
1999-07-19,121347.93
1999-07-20,116674.94999999998
1999-07-21,117234.10999999999
1999-07-22,114258.58
1999-07-23,114418.34
1999-07-26,111622.54
1999-07-27,113859.18
1999-07-28,116095.81999999999
1999-07-29,113619.54
1999-07-30,113040.41
1999-08-02,112740.85999999999
1999-08-03,112001.96999999999
1999-08-04,109965.02999999998
1999-08-05,111722.39
1999-08-06,110524.18999999999
1999-08-09,109106.31999999999
1999-08-10,108127.79
1999-08-11,111682.44999999998
1999-08-12,110364.43
1999-08-13,115177.19999999998
1999-08-16,116095.81999999999
1999-08-17,116674.94999999998
1999-08-18,115356.93
1999-08-19,113979.0
1999-08-20,115796.26999999999
1999-08-23,119470.75
1999-08-24,120289.51999999999
1999-08-25,122845.68
1999-08-26,120808.73999999999
1999-08-27,119610.54
1999-08-30,117913.09
1999-08-31,119231.10999999999
1999-09-01,120089.81999999999
1999-09-02,119670.44999999998
1999-09-03,125162.19999999998
1999-09-07,124603.04
1999-09-08,122905.59
1999-09-09,124662.94999999998
1999-09-10,126100.79
1999-09-13,124583.06999999999
1999-09-14,125262.04999999999
1999-09-15,122845.68
1999-09-16,122785.76999999999
1999-09-17,126460.25
1999-09-20,126759.79999999999
1999-09-21,123724.35999999999
1999-09-22,125022.41
1999-09-23,119850.18
1999-09-24,120009.93999999999
1999-09-27,120848.68
1999-09-28,121407.84
1999-09-29,118971.5
1999-09-30,120229.60999999999
1999-10-01,120269.54999999999
1999-10-04,122965.5
1999-10-05,123844.18
1999-10-06,126320.45999999999
1999-10-07,126020.91
1999-10-08,127358.9
1999-10-11,129156.19999999998
1999-10-12,126220.60999999999
1999-10-13,122466.25
1999-10-14,123245.08
1999-10-15,119610.54
1999-10-18,118092.81999999999
1999-10-19,118731.85999999999
1999-10-20,122346.43
1999-10-21,124343.43
1999-10-22,123784.26999999999
1999-10-25,123844.18
1999-10-26,122845.68
1999-10-27,122665.94999999998
1999-10-28,126899.59
1999-10-29,131332.93
1999-11-01,130653.94999999998
1999-11-02,130733.83
1999-11-03,133329.93
1999-11-04,134827.68
1999-11-05,136205.61
1999-11-08,138941.5
1999-11-09,138002.91
1999-11-10,139820.18
1999-11-11,142316.43
1999-11-12,144193.61
1999-11-15,143914.03
1999-11-16,147568.53999999998
1999-11-17,145571.53999999998
1999-11-18,150024.85
1999-11-19,151362.84
1999-11-22,154797.68
1999-11-23,149745.27
1999-11-24,154677.86
1999-11-26,155177.11
1999-11-29,152620.94999999998
1999-11-30,147808.18
1999-12-01,149984.91
1999-12-02,154757.74
1999-12-03,158052.78999999998
1999-12-06,159470.66
1999-12-07,159470.66
1999-12-08,157553.53999999998
1999-12-09,157793.18
1999-12-10,158791.68
1999-12-13,161767.21
1999-12-14,158851.59
1999-12-15,161787.18
1999-12-16,166040.78999999998
1999-12-17,167338.84
1999-12-20,169535.53999999998
1999-12-21,177144.11
1999-12-22,178082.69999999998
1999-12-23,179081.19999999998
1999-12-27,179141.11
1999-12-28,178142.61
1999-12-29,184752.68
1999-12-30,182755.68
1999-12-31,182516.03999999998
2000-01-03,189245.93
2000-01-04,175786.15
2000-01-05,172151.61
2000-01-06,161287.93
2000-01-07,176764.68
2000-01-10,184253.43
2000-01-11,176265.43
2000-01-12,172890.5
2000-01-13,182256.43
2000-01-14,185132.11
2000-01-18,187748.18
2000-01-19,190304.34
2000-01-20,190743.68
2000-01-21,192241.43
2000-01-24,182256.43
2000-01-25,186070.69999999998
2000-01-26,178761.68
2000-01-27,180758.68
2000-01-28,171272.93
2000-01-31,179760.18
2000-02-01,184752.68
2000-02-02,185511.53999999998
2000-02-03,192001.78999999998
2000-02-04,193559.44999999998
2000-02-07,196554.94999999998
2000-02-08,204223.43
2000-02-09,197733.18
2000-02-10,204103.61
2000-02-11,197733.18
2000-02-14,198452.1
2000-02-15,200229.43
2000-02-16,199730.18
2000-02-17,203484.53999999998
2000-02-18,197353.75
2000-02-22,197054.19999999998
2000-02-23,207977.78999999998
2000-02-24,212710.68
2000-02-25,208097.61
2000-02-28,207218.93
2000-02-29,213709.18
2000-03-01,214967.28999999998
2000-03-02,209974.78999999998
2000-03-03,218741.62
2000-03-06,222695.68
2000-03-07,219200.93
2000-03-08,222815.5
2000-03-09,229685.18
2000-03-10,229066.11
2000-03-13,222076.61
2000-03-14,213709.18
2000-03-15,205661.27
2000-03-16,216704.68
2000-03-17,221317.75
2000-03-20,214208.43
2000-03-21,222695.68
2000-03-22,227688.18
2000-03-23,232441.03999999998
2000-03-24,235436.53999999998
2000-03-27,234398.1
2000-03-28,229685.18
2000-03-29,220698.68
2000-03-30,214208.43
2000-03-31,218701.68
2000-04-03,206719.68
2000-04-04,201227.93
2000-04-05,197733.18
2000-04-06,204343.25
2000-04-07,211712.18
2000-04-10,199730.18
2000-04-11,195196.99
2000-04-12,183754.18
2000-04-13,177763.18
2000-04-14,159290.93
2000-04-17,177763.18
2000-04-18,183254.93
2000-04-19,177883.0
2000-04-20,173529.53999999998
2000-04-24,169775.18
2000-04-25,180638.86
2000-04-26,174528.03999999998
2000-04-27,182516.03999999998
2000-04-28,188746.68
2000-05-01,191242.93
2000-05-02,179760.18
2000-05-03,178522.03999999998
2000-05-04,178022.78999999998
2000-05-05,182755.68
2000-05-08,176265.43
2000-05-09,170773.68
2000-05-10,159790.18
2000-05-11,169275.93
2000-05-12,169156.11
2000-05-15,177024.28999999998
2000-05-16,181877.0
2000-05-17,178142.61
2000-05-18,171153.11
2000-05-19,163165.11
2000-05-22,163784.18
2000-05-23,150064.78999999998
2000-05-24,159290.93
2000-05-25,154797.68
2000-05-26,155177.11
2000-05-30,170773.68
2000-05-31,165781.18
2000-06-01,174767.68
2000-06-02,186250.43
2000-06-05,187009.28999999998
2000-06-06,182516.03999999998
2000-06-07,186629.86
2000-06-08,185751.18
