Date,Open,Close,Gap%,100MA,200MA,前高,前高日期
1999-03-10,51.13,51.06,+0.0%,0.0,0.0,,
1999-03-11,51.44,51.31,+0.7%,0.0,0.0,51.06,1999-03-10
1999-03-12,51.13,50.06,-0.4%,0.0,0.0,51.31,1999-03-11
1999-03-15,50.44,51.50,+0.8%,0.0,0.0,51.31,1999-03-11
1999-03-16,51.72,51.94,+0.4%,0.0,0.0,51.50,1999-03-15
1999-03-17,51.94,51.56,+0.0%,0.0,0.0,51.94,1999-03-16
1999-03-18,51.50,52.56,-0.1%,0.0,0.0,51.94,1999-03-16
1999-03-19,53.25,51.22,+1.3%,0.0,0.0,52.56,1999-03-18
1999-03-22,51.44,50.59,+0.4%,0.0,0.0,52.56,1999-03-18
1999-03-23,50.31,48.81,-0.6%,0.0,0.0,52.56,1999-03-18
1999-03-24,49.25,50.47,+0.9%,0.0,0.0,52.56,1999-03-18
1999-03-25,51.25,52.31,+1.5%,0.0,0.0,52.56,1999-03-18
1999-03-26,51.88,51.75,-0.8%,0.0,0.0,52.56,1999-03-18
1999-03-29,52.38,53.63,+1.2%,0.0,0.0,52.56,1999-03-18
1999-03-30,53.56,53.25,-0.1%,0.0,0.0,53.63,1999-03-29
1999-03-31,54.13,52.47,+1.7%,0.0,0.0,53.63,1999-03-29
1999-04-01,54.00,53.56,+2.9%,0.0,0.0,53.63,1999-03-29
1999-04-05,54.43,55.50,+1.6%,0.0,0.0,53.63,1999-03-29
1999-04-06,55.44,55.61,-0.1%,0.0,0.0,55.50,1999-04-05
1999-04-07,56.13,55.03,+0.9%,0.0,0.0,55.61,1999-04-06
1999-04-08,54.94,55.47,-0.2%,0.0,0.0,55.61,1999-04-06
1999-04-09,55.38,55.81,-0.2%,0.0,0.0,55.61,1999-04-06
1999-04-12,54.50,55.44,-2.3%,0.0,0.0,55.81,1999-04-09
1999-04-13,55.78,54.69,+0.6%,0.0,0.0,55.81,1999-04-09
1999-04-14,55.38,52.81,+1.3%,0.0,0.0,55.81,1999-04-09
1999-04-15,53.00,53.53,+0.4%,0.0,0.0,55.81,1999-04-09
1999-04-16,53.41,51.97,-0.2%,0.0,0.0,55.81,1999-04-09
1999-04-19,52.31,49.53,+0.7%,0.0,0.0,55.81,1999-04-09
1999-04-20,49.31,50.66,-0.4%,0.0,0.0,55.81,1999-04-09
1999-04-21,51.13,53.16,+0.9%,0.0,0.0,55.81,1999-04-09
1999-04-22,53.66,54.59,+0.9%,0.0,0.0,55.81,1999-04-09
1999-04-23,54.31,55.31,-0.5%,0.0,0.0,55.81,1999-04-09
1999-04-26,55.69,56.59,+0.7%,0.0,0.0,55.81,1999-04-09
1999-04-27,57.00,55.72,+0.7%,0.0,0.0,56.59,1999-04-26
1999-04-28,55.25,53.81,-0.8%,0.0,0.0,56.59,1999-04-26
1999-04-29,53.56,53.38,-0.5%,0.0,0.0,56.59,1999-04-26
1999-04-30,54.13,53.72,+1.4%,0.0,0.0,56.59,1999-04-26
1999-05-03,53.56,53.44,-0.3%,0.0,0.0,56.59,1999-04-26
1999-05-04,53.53,52.59,+0.2%,0.0,0.0,56.59,1999-04-26
1999-05-05,52.63,54.19,+0.1%,0.0,0.0,56.59,1999-04-26
1999-05-06,53.69,52.22,-0.9%,0.0,0.0,56.59,1999-04-26
1999-05-07,52.69,52.97,+0.9%,0.0,0.0,56.59,1999-04-26
1999-05-10,53.31,53.50,+0.6%,0.0,0.0,56.59,1999-04-26
1999-05-11,53.94,54.34,+0.8%,0.0,0.0,56.59,1999-04-26
1999-05-12,54.59,55.47,+0.5%,0.0,0.0,56.59,1999-04-26
1999-05-13,55.91,54.44,+0.8%,0.0,0.0,56.59,1999-04-26
1999-05-14,53.38,53.41,-1.9%,0.0,0.0,56.59,1999-04-26
1999-05-17,52.94,54.37,-0.9%,0.0,0.0,56.59,1999-04-26
1999-05-18,54.31,54.13,-0.1%,0.0,0.0,56.59,1999-04-26
1999-05-19,54.34,54.88,+0.4%,0.0,0.0,56.59,1999-04-26
1999-05-20,54.99,53.37,+0.2%,0.0,0.0,56.59,1999-04-26
1999-05-21,53.53,52.88,+0.3%,0.0,0.0,56.59,1999-04-26
1999-05-24,52.97,51.53,+0.2%,0.0,0.0,56.59,1999-04-26
1999-05-25,51.47,49.84,-0.1%,0.0,0.0,56.59,1999-04-26
1999-05-26,50.50,51.23,+1.3%,0.0,0.0,56.59,1999-04-26
1999-05-27,51.03,51.19,-0.4%,0.0,0.0,56.59,1999-04-26
1999-05-28,51.50,52.03,+0.6%,0.0,0.0,56.59,1999-04-26
1999-06-01,51.94,50.88,-0.2%,0.0,0.0,56.59,1999-04-26
1999-06-02,50.84,51.73,-0.1%,0.0,0.0,56.59,1999-04-26
1999-06-03,52.13,51.00,+0.8%,0.0,0.0,56.59,1999-04-26
1999-06-04,51.38,52.56,+0.7%,0.0,0.0,56.59,1999-04-26
1999-06-07,52.93,53.66,+0.7%,0.0,0.0,56.59,1999-04-26
1999-06-08,53.78,52.31,+0.2%,0.0,0.0,56.59,1999-04-26
